sec,time,waiting_time_min
81032.0,22:30:32,39.182282055486816
81033.0,22:30:33,40.63132328182643
81034.0,22:30:34,42.410317948679584
81035.0,22:30:35,42.410317948679584
81036.0,22:30:36,44.46309472229332
81037.0,22:30:37,44.46309472229332
81038.0,22:30:38,45.24539420611739
81039.0,22:30:39,46.08608997443395
81040.0,22:30:40,46.92360186629036
81041.0,22:30:41,47.79848832396504
81042.0,22:30:42,47.99207706370847
81043.0,22:30:43,47.194550971775364
81044.0,22:30:44,46.49782973875917
81045.0,22:30:45,46.64738980552453
81046.0,22:30:46,46.86030545407702
81047.0,22:30:47,46.04072643923136
81048.0,22:30:48,45.378671900925596
81049.0,22:30:49,45.49791138556126
81050.0,22:30:50,45.72387118975166
81051.0,22:30:51,44.94922172478667
81052.0,22:30:52,45.202213611007025
81053.0,22:30:53,45.202213611007025
81054.0,22:30:54,44.87455951806114
81055.0,22:30:55,44.87455951806114
81056.0,22:30:56,44.073613403942
81057.0,22:30:57,45.03025257535531
81058.0,22:30:58,44.49658928497229
81059.0,22:30:59,44.49658928497229
81060.0,22:31:00,45.0799984036906
81061.0,22:31:01,44.154202314192176
81062.0,22:31:02,43.93431411831504
81063.0,22:31:03,43.52610486118137
81064.0,22:31:04,42.63423227093032
81065.0,22:31:05,42.98979671530178
81066.0,22:31:06,42.47033683886136
81067.0,22:31:07,42.47033683886136
81068.0,22:31:08,42.515447269954166
81069.0,22:31:09,42.515447269954166
81070.0,22:31:10,42.497228297510446
81071.0,22:31:11,42.497228297510446
81072.0,22:31:12,42.190517128657184
81073.0,22:31:13,42.190517128657184
81074.0,22:31:14,41.43284467215029
81075.0,22:31:15,41.750424017552966
81076.0,22:31:16,41.59387684530812
81077.0,22:31:17,41.59387684530812
81078.0,22:31:18,41.79257497731523
81079.0,22:31:19,41.44840155780451
81080.0,22:31:20,41.59452122286044
81081.0,22:31:21,41.59452122286044
81082.0,22:31:22,41.60132561438513
81083.0,22:31:23,41.60132561438513
81084.0,22:31:24,41.53214048961745
81085.0,22:31:25,41.53214048961745
81086.0,22:31:26,41.53045195884309
81087.0,22:31:27,41.53045195884309
81088.0,22:31:28,41.50644452568037
81089.0,22:31:29,41.50644452568037
81090.0,22:31:30,41.49474203452773
81091.0,22:31:31,41.49474203452773
81092.0,22:31:32,41.50537131916111
81093.0,22:31:33,41.50537131916111
81094.0,22:31:34,41.754450475403914
81095.0,22:31:35,41.754450475403914
81096.0,22:31:36,42.04960600518631
81097.0,22:31:37,42.04960600518631
81098.0,22:31:38,41.34563255950707
81099.0,22:31:39,41.34563255950707
81100.0,22:31:40,40.07982243692725
81101.0,22:31:41,40.07982243692725
81102.0,22:31:42,40.07982243692725
81103.0,22:31:43,39.51466041516469
81104.0,22:31:44,39.51466041516469
81105.0,22:31:45,39.67680596865854
81106.0,22:31:46,39.67680596865854
81107.0,22:31:47,39.52952705424686
81108.0,22:31:48,39.52952705424686
81109.0,22:31:49,39.23246000762107
81110.0,22:31:50,39.23246000762107
81111.0,22:31:51,38.9051805583326
81112.0,22:31:52,38.9051805583326
81113.0,22:31:53,38.54661198140335
81114.0,22:31:54,38.54661198140335
81115.0,22:31:55,38.10007339645745
81116.0,22:31:56,38.10007339645745
81117.0,22:31:57,37.645039959077984
81118.0,22:31:58,37.645039959077984
81119.0,22:31:59,37.18158212793957
81120.0,22:32:00,37.18158212793957
81121.0,22:32:01,36.68341225286543
81122.0,22:32:02,36.68341225286543
81123.0,22:32:03,36.250271965987004
81124.0,22:32:04,36.250271965987004
81125.0,22:32:05,35.812885121834064
81126.0,22:32:06,35.83579369025271
81127.0,22:32:07,35.46946284564013
81128.0,22:32:08,35.18560510847795
81129.0,22:32:09,35.18560510847795
81130.0,22:32:10,34.9838151723566
81131.0,22:32:11,34.224620226626335
81132.0,22:32:12,33.832937004725196
81133.0,22:32:13,33.5371470209473
81134.0,22:32:14,33.5371470209473
81135.0,22:32:15,33.425261710061996
81136.0,22:32:16,33.425261710061996
81137.0,22:32:17,33.31861347491334
81138.0,22:32:18,33.31861347491334
81139.0,22:32:19,33.31970399942414
81140.0,22:32:20,33.31970399942414
81141.0,22:32:21,33.66549197116207
81142.0,22:32:22,33.66549197116207
81143.0,22:32:23,33.98453941458162
81144.0,22:32:24,34.35116942497019
81145.0,22:32:25,34.451451856364535
81146.0,22:32:26,34.451451856364535
81147.0,22:32:27,34.93464258667712
81148.0,22:32:28,34.93464258667712
81149.0,22:32:29,35.146026293000126
81150.0,22:32:30,35.146026293000126
81151.0,22:32:31,35.46952708123839
81152.0,22:32:32,35.46952708123839
81153.0,22:32:33,35.61572996543085
81154.0,22:32:34,35.61572996543085
81155.0,22:32:35,35.442160133018234
81156.0,22:32:36,35.3089442568152
81157.0,22:32:37,35.58275647985356
81158.0,22:32:38,35.58275647985356
81159.0,22:32:39,35.78737756664365
81160.0,22:32:40,35.78737756664365
81161.0,22:32:41,34.79414732875933
81162.0,22:32:42,34.79414732875933
81163.0,22:32:43,33.64807930333748
81164.0,22:32:44,32.7865896769615
81165.0,22:32:45,31.696540349741067
81166.0,22:32:46,30.19365766325718
81167.0,22:32:47,30.19365766325718
81168.0,22:32:48,29.317600895216554
81169.0,22:32:49,29.317600895216554
81170.0,22:32:50,29.317600895216554
81171.0,22:32:51,29.317600895216554
81172.0,22:32:52,29.30123116363102
81173.0,22:32:53,29.30123116363102
81174.0,22:32:54,29.35243145743613
81175.0,22:32:55,29.313699745209792
81176.0,22:32:56,28.753664454683168
81177.0,22:32:57,28.753664454683168
81178.0,22:32:58,28.524848719989677
81179.0,22:32:59,28.791325637215778
81180.0,22:33:00,28.791325637215778
81181.0,22:33:01,28.819009860680673
81182.0,22:33:02,28.819009860680673
81183.0,22:33:03,28.553889963917754
81184.0,22:33:04,28.553889963917754
81185.0,22:33:05,27.575119173916754
81186.0,22:33:06,27.197271044537533
81187.0,22:33:07,27.182405107222923
81188.0,22:33:08,26.935600198742517
81189.0,22:33:09,27.19766132585161
81190.0,22:33:10,27.19766132585161
81191.0,22:33:11,26.25714760004048
81192.0,22:33:12,25.540498275228554
81193.0,22:33:13,24.99784738209249
81194.0,22:33:14,24.99784738209249
81195.0,22:33:15,25.067777539977154
81196.0,22:33:16,24.37200849907749
81197.0,22:33:17,24.43631546257117
81198.0,22:33:18,24.43631546257117
81199.0,22:33:19,24.262997525433214
81200.0,22:33:20,24.262997525433214
81201.0,22:33:21,24.304772154928894
81202.0,22:33:22,24.304772154928894
81203.0,22:33:23,23.86291971894146
81204.0,22:33:24,23.86291971894146
81205.0,22:33:25,23.86291971894146
81206.0,22:33:26,23.43090712491685
81207.0,22:33:27,22.731563201911193
81208.0,22:33:28,22.731563201911193
81209.0,22:33:29,22.731563201911193
81210.0,22:33:30,22.731563201911193
81211.0,22:33:31,22.731563201911193
81212.0,22:33:32,22.731563201911193
81213.0,22:33:33,22.731563201911193
81214.0,22:33:34,22.353505772104835
81215.0,22:33:35,21.688167971453367
81216.0,22:33:36,21.688167971453367
81217.0,22:33:37,21.688167971453367
81218.0,22:33:38,21.688167971453367
81219.0,22:33:39,21.688167971453367
81220.0,22:33:40,21.688167971453367
81221.0,22:33:41,21.688167971453367
81222.0,22:33:42,21.688167971453367
81223.0,22:33:43,21.688167971453367
81224.0,22:33:44,21.688167971453367
81225.0,22:33:45,21.282427199378436
81226.0,22:33:46,21.282427199378436
81227.0,22:33:47,21.282427199378436
81228.0,22:33:48,21.282427199378436
81229.0,22:33:49,20.278781116934745
81230.0,22:33:50,19.656688310170285
81231.0,22:33:51,19.656688310170285
81232.0,22:33:52,19.656688310170285
81233.0,22:33:53,19.656688310170285
81234.0,22:33:54,19.36288419753085
81235.0,22:33:55,19.36288419753085
81236.0,22:33:56,19.36288419753085
81237.0,22:33:57,19.36288419753085
81238.0,22:33:58,19.36288419753085
81239.0,22:33:59,19.36288419753085
81240.0,22:34:00,19.36288419753085
81241.0,22:34:01,19.36288419753085
81242.0,22:34:02,19.36288419753085
81243.0,22:34:03,20.709025636478568
81244.0,22:34:04,21.04070324133087
81245.0,22:34:05,21.910748013353682
81246.0,22:34:06,21.910748013353682
81247.0,22:34:07,23.270962517928517
81248.0,22:34:08,23.270962517928517
81249.0,22:34:09,24.580222303214637
81250.0,22:34:10,25.24322185993636
81251.0,22:34:11,25.97356864932299
81252.0,22:34:12,26.62442887314052
81253.0,22:34:13,27.357641177033656
81254.0,22:34:14,28.192725580449284
81255.0,22:34:15,28.682879637336494
81256.0,22:34:16,28.682879637336494
81257.0,22:34:17,30.028697386319983
81258.0,22:34:18,30.028697386319983
81259.0,22:34:19,30.055002842489195
81260.0,22:34:20,30.055002842489195
81261.0,22:34:21,29.848047063019962
81262.0,22:34:22,29.848047063019962
81263.0,22:34:23,29.603532210683866
81264.0,22:34:24,29.603532210683866
81265.0,22:34:25,30.43880771005594
81266.0,22:34:26,30.385904428610715
81267.0,22:34:27,30.266640575545413
81268.0,22:34:28,30.31183945062876
81269.0,22:34:29,30.127309356107435
81270.0,22:34:30,30.302349773257447
81271.0,22:34:31,30.262849609951807
81272.0,22:34:32,30.83218911725368
81273.0,22:34:33,31.31103284139875
81274.0,22:34:34,32.31685556125522
81275.0,22:34:35,32.569321481622076
81276.0,22:34:36,32.900408591859986
81277.0,22:34:37,33.40125668468172
81278.0,22:34:38,34.15450131933806
81279.0,22:34:39,34.60986715438654
81280.0,22:34:40,34.98106275604878
81281.0,22:34:41,35.1351465261112
81282.0,22:34:42,35.642911297265286
81283.0,22:34:43,35.99510143249281
81284.0,22:34:44,37.01603018570071
81285.0,22:34:45,37.05753044138134
81286.0,22:34:46,37.52286648356773
81287.0,22:34:47,37.097715684935245
81288.0,22:34:48,38.02123108095135
81289.0,22:34:49,37.564302010742054
81290.0,22:34:50,37.63418045515209
81291.0,22:34:51,37.13805489506994
81292.0,22:34:52,37.489320166829565
81293.0,22:34:53,37.489320166829565
81294.0,22:34:54,38.094412704394685
81295.0,22:34:55,38.094412704394685
81296.0,22:34:56,38.73373750527923
81297.0,22:34:57,38.73373750527923
81298.0,22:34:58,39.34929410579449
81299.0,22:34:59,39.34929410579449
81300.0,22:35:00,39.9051625951055
81301.0,22:35:01,39.9051625951055
81302.0,22:35:02,40.44699682263672
81303.0,22:35:03,40.44699682263672
81304.0,22:35:04,40.96226411812361
81305.0,22:35:05,40.96226411812361
81306.0,22:35:06,41.501480352151944
81307.0,22:35:07,41.501480352151944
81308.0,22:35:08,39.82258800438503
81309.0,22:35:09,39.82258800438503
81310.0,22:35:10,39.21494567991685
81311.0,22:35:11,39.21494567991685
81312.0,22:35:12,38.873867318575506
81313.0,22:35:13,38.873867318575506
81314.0,22:35:14,39.43649715637584
81315.0,22:35:15,39.43649715637584
81316.0,22:35:16,39.99620360733388
81317.0,22:35:17,38.326777401434086
81318.0,22:35:18,38.71467417771419
81319.0,22:35:19,39.055980171246
81320.0,22:35:20,39.47084215687234
81321.0,22:35:21,39.83447535069572
81322.0,22:35:22,39.4489529076595
81323.0,22:35:23,38.938928538030936
81324.0,22:35:24,39.37400870624818
81325.0,22:35:25,40.12622084057342
81326.0,22:35:26,40.12622084057342
81327.0,22:35:27,40.38930156885447
81328.0,22:35:28,40.854528641985475
